vendor_id,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,payment_type,fare_amount,tip_amount,total_amount
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,5.97,1,52.6,0.0,52.6
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,1.23,2,55.43,1.69,57.12
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,11.51,3,21.68,4.26,25.94
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,10.85,3,65.52,0.0,65.52
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,2.87,3,15.82,1.86,17.68
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,2.43,3,49.88,12.74,62.62
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,2.2,2,67.03,20.22,87.25
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,7.31,3,62.75,18.78,81.53
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,16.06,2,16.36,3.84,20.2
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,8.44,1,16.42,5.69,22.11
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,7.06,2,21.41,0.0,21.41
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,12.73,4,73.4,18.44,91.84
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,14.82,4,14.86,0.0,14.86
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,19.02,1,31.51,1.53,33.04
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,2.06,4,15.62,0.0,15.62
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,18.16,3,49.29,4.34,53.63
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,0.58,3,62.41,6.41,68.82
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,7.81,2,77.86,13.83,91.69
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,8.44,1,15.62,2.95,18.57
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,1.92,1,12.5,4.31,16.81
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,16.66,2,10.51,0.25,10.76
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,19.0,2,24.14,3.58,27.72
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,22.54,4,58.18,13.68,71.86
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,14.91,2,13.2,0.0,13.2
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,2.15,1,48.72,0.0,48.72
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,16.89,2,69.33,0.0,69.33
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,19.72,4,44.98,13.89,58.87
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,10.88,4,18.47,0.0,18.47
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,10.36,3,69.65,0.0,69.65
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,13.64,2,64.85,0.0,64.85
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,11.36,1,36.06,0.0,36.06
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,4.57,4,7.84,2.29,10.13
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,0.55,4,40.58,12.82,53.4
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,23.95,4,24.16,3.85,28.01
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,18.53,1,15.76,0.0,15.76
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,23.02,2,60.85,0.0,60.85
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,2.17,2,8.32,2.48,10.8
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,2.51,3,34.69,6.92,41.61
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,7.01,2,75.04,0.0,75.04
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,0.73,1,55.05,0.0,55.05
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,23.36,1,9.57,0.0,9.57
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,24.6,1,70.82,3.91,74.73
1,2015-01-15 08:30:00,2015-01-15 08:55:00,2,6.98,1,54.76,17.86,72.62
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,5.66,3,60.42,0.0,60.42
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,22.68,1,19.47,1.8,21.27
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,19.39,3,11.01,1.07,12.08
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,2.34,2,16.28,4.02,20.3
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,3.62,3,45.46,9.27,54.73
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,5.65,2,31.71,10.79,42.5
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,18.86,2,54.69,10.72,65.41
2,2015-01-15 08:30:00,2015-01-15 08:55:00,1,4.89,3,69.71,19.78,89.49
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,4.4,1,63.46,14.88,78.34
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,5.39,4,33.07,0.0,33.07
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,16.67,4,30.57,9.32,39.89
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,16.22,4,28.95,9.8,38.75
1,2015-01-15 08:30:00,2015-01-15 08:55:00,1,21.99,3,55.64,6.45,62.09
1,2015-01-15 08:30:00,2015-01-15 08:55:00,5,11.15,3,17.57,1.63,19.2
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,1.59,4,37.17,1.5,38.67
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,11.07,3,4.13,0.78,4.91
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,8.08,4,51.36,2.24,53.6
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,16.79,4,28.79,5.59,34.38
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,13.92,1,55.48,11.95,67.43
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,11.32,2,27.09,0.0,27.09
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,2.58,3,42.85,14.4,57.25
2,2015-01-15 08:30:00,2015-01-15 08:55:00,2,20.26,2,11.1,0.91,12.01
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,21.32,1,5.86,0.0,5.86
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,10.29,2,38.61,7.78,46.39
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,5.86,4,53.86,0.0,53.86
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,3.77,4,7.82,0.0,7.82
2,2015-01-15 08:30:00,2015-01-15 08:55:00,5,20.47,4,54.74,11.41,66.15
2,2015-01-15 08:30:00,2015-01-15 08:55:00,4,6.85,2,67.12,21.08,88.2
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,6.36,4,67.83,0.0,67.83
2,2015-01-15 08:30:00,2015-01-15 08:55:00,3,8.33,1,9.89,0.0,9.89
1,2015-01-15 08:30:00,2015-01-15 08:55:00,6,5.74,4,14.52,0.0,14.52
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,10.04,1,34.98,5.09,40.07
1,2015-01-15 08:30:00,2015-01-15 08:55:00,3,7.82,4,69.11,9.2,78.31
1,2015-01-15 08:30:00,2015-01-15 08:55:00,4,5.88,4,68.86,10.1,78.96
2,2015-01-15 08:30:00,2015-01-15 08:55:00,6,4.54,4,40.91,9.58,50.49
