vendor_id,passenger_count,trip_distance,fare_amount,tip_amount,total_amount,pickup_datetime,dropoff_datetime,payment_method,tip_pct,duration_min
2,2,5.97,52.6,0.0,52.6,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0,25.0
2,1,1.23,55.43,1.69,57.12,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0305,25.0
2,2,11.51,21.68,4.26,25.94,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.1965,25.0
1,6,10.85,65.52,0.0,65.52,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.0,25.0
1,4,2.87,15.82,1.86,17.68,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.1176,25.0
1,4,2.43,49.88,12.74,62.62,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.2554,25.0
1,6,2.2,67.03,20.22,87.25,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.3017,25.0
1,4,7.31,62.75,18.78,81.53,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.2993,25.0
1,5,16.06,16.36,3.84,20.2,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.2347,25.0
1,6,8.44,16.42,5.69,22.11,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.3465,25.0
2,4,7.06,21.41,0.0,21.41,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
1,6,12.73,73.4,18.44,91.84,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.2512,25.0
2,6,14.82,14.86,0.0,14.86,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.0,25.0
2,1,19.02,31.51,1.53,33.04,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0486,25.0
2,5,2.06,15.62,0.0,15.62,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.0,25.0
1,6,18.16,49.29,4.34,53.63,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.0881,25.0
1,4,0.58,62.41,6.41,68.82,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.1027,25.0
1,6,7.81,77.86,13.83,91.69,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.1776,25.0
1,5,8.44,15.62,2.95,18.57,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.1889,25.0
2,2,1.92,12.5,4.31,16.81,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.3448,25.0
1,2,16.66,10.51,0.25,10.76,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0238,25.0
1,5,19.0,24.14,3.58,27.72,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.1483,25.0
2,4,22.54,58.18,13.68,71.86,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.2351,25.0
2,1,14.91,13.2,0.0,13.2,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
1,2,2.15,48.72,0.0,48.72,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0,25.0
1,3,16.89,69.33,0.0,69.33,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
2,2,19.72,44.98,13.89,58.87,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.3088,25.0
2,3,10.88,18.47,0.0,18.47,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.0,25.0
1,1,10.36,69.65,0.0,69.65,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.0,25.0
1,2,13.64,64.85,0.0,64.85,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
1,1,11.36,36.06,0.0,36.06,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0,25.0
1,2,4.57,7.84,2.29,10.13,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.2921,25.0
1,4,0.55,40.58,12.82,53.4,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.3159,25.0
2,6,23.95,24.16,3.85,28.01,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.1594,25.0
1,5,18.53,15.76,0.0,15.76,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0,25.0
2,5,23.02,60.85,0.0,60.85,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
1,5,2.17,8.32,2.48,10.8,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.2981,25.0
1,5,2.51,34.69,6.92,41.61,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.1995,25.0
2,2,7.01,75.04,0.0,75.04,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
2,1,0.73,55.05,0.0,55.05,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0,25.0
2,2,23.36,9.57,0.0,9.57,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0,25.0
2,5,24.6,70.82,3.91,74.73,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0552,25.0
1,2,6.98,54.76,17.86,72.62,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.3262,25.0
2,5,5.66,60.42,0.0,60.42,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.0,25.0
2,3,22.68,19.47,1.8,21.27,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.0924,25.0
1,3,19.39,11.01,1.07,12.08,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.0972,25.0
1,1,2.34,16.28,4.02,20.3,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.2469,25.0
1,4,3.62,45.46,9.27,54.73,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.2039,25.0
1,3,5.65,31.71,10.79,42.5,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.3403,25.0
2,5,18.86,54.69,10.72,65.41,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.196,25.0
2,1,4.89,69.71,19.78,89.49,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.2837,25.0
1,3,4.4,63.46,14.88,78.34,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.2345,25.0
2,2,5.39,33.07,0.0,33.07,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.0,25.0
1,1,16.67,30.57,9.32,39.89,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.3049,25.0
2,3,16.22,28.95,9.8,38.75,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.3385,25.0
1,1,21.99,55.64,6.45,62.09,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.1159,25.0
1,5,11.15,17.57,1.63,19.2,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.0928,25.0
1,3,1.59,37.17,1.5,38.67,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.0404,25.0
1,3,11.07,4.13,0.78,4.91,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.1889,25.0
2,5,8.08,51.36,2.24,53.6,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.0436,25.0
1,4,16.79,28.79,5.59,34.38,2015-01-15 08:30:00,2015-01-15 08:55:00,Dispute,0.1942,25.0
2,4,13.92,55.48,11.95,67.43,2015-01-15 08:30:00,2015-01-15 08:55:00,Credit card,0.2154,25.0
2,4,11.32,27.09,0.0,27.09,2015-01-15 08:30:00,2015-01-15 08:55:00,Cash,0.0,25.0
1,6,2.58,42.85,14.4,57.25,2015-01-15 08:30:00,2015-01-15 08:55:00,No charge,0.3361,25.0
